Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
518;Carrer Ponent, s/n;Carrer Ponent;s/n;;;;08930 ;Sant Adrià de Besòs;;41,4191468;2,2196137;41,4191468;2,2196137;KO
519;Carrer Ponent, s/n (Casal Cívic La Mina);Carrer Ponent;s/n;;;Casal Cívic La Mina;08930 ;Sant Adrià de Besòs;;;;0,0;0,0;KO
520;Ctra. de Mataró, 59, baixos;Ctra. de Mataró;59;;;;08930 ;Sant Adrià de Besòs;;;;0,0;0,0;KO
521;Carrer Cornellà Modern, 19;Carrer Cornellà Modern;19;;;;08940 ;Cornellà de Llobregat;;;;41,361322078;2,073593441;OK
522;Carrer de Mossèn Jacint Verdaguer, 16;Carrer de Mossèn Jacint Verdaguer;16;;;;08940 ;Cornellà de Llobregat;;;;0,0;0,0;KO
523;Carrer Eduard Gilbert, 29;Carrer Eduard Gilbert;29;;;;08940 ;Cornellà de Llobregat;;;;41,352985816;2,072587805;OK
524;Carrer Gerdera, s/n (Casal Cívic Sant Ildefons);Carrer Gerdera;s/n;;;Casal Cívic Sant Ildefons;08940 ;Cornellà de Llobregat;;;;41,360780776;2,084279246;OK
525;Carrer Mossèn Andreu, 14-19, 4a pl. (Centre Cultural Joan N. Garcia-Nieto);Carrer Mossèn Andreu;14-19;;4;Centre Cultural Joan N. Garcia-Nieto;08940 ;Cornellà de Llobregat;;;;0,0;0,0;KO
526;Plaça Gandesa, s/n (Centre Cívic Fontsanta);Plaça Gandesa;s/n;;;Centre Cívic Fontsanta;08940 ;Cornellà de Llobregat;;;;0,0;0,0;KO
527;Avinguda Isidre Martí, 46, 1r 2a;Avinguda Isidre Martí;46;;1;;08950 ;Esplugues de Llobregat;;;;41,37616181;2,083261738;OK
528;Carrer Bruc, 40, baixos;Carrer Bruc;40;;;;08950 ;Esplugues de Llobregat;;;;41,370565736;2,084778803;OK
529;Carrer Josep Argemi, 48-52, 1r;Carrer Josep Argemi;48-52;;1;;08950 ;Esplugues de Llobregat;;;;41,373615752;2,079539223;OK
